C1:1
C2:1
C3:1
C4:1
CONN01X06:1
D2:1
DATA_IN1:1
DATA_OUT1:1
ESP32-C3:1
G***:2
H1:1
H2:1
H3:1
H4:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
Q6:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW2:1
VP_IN1:1
VP_IN2:1
VP_IN3:1
VP_IN4:1
