C1:1
C11:1
C13:1
C16:1
C17:1
C18:1
C2:1
C4:1
C6:1
C9:1
DATA_IN1:1
ESP32-C3:1
G***:1
H1:1
H2:1
H3:1
H4:1
J2:1
J3:1
J5:1
LIPO_CHARGER1:1
R17:1
R18:1
R19:1
R2:1
R5:1
SW1:1
SW2:1
